x_url	posted_at	author_handle	author_display_name	topic_cluster_id	roles	window_status	official_account	linked_primary_url	observation_summary	claim_status
https://x.com/elonmusk/status/2088138697002668110	2026-08-14T05:40:35Z	elonmusk	Elon Musk	1	OFFICIAL_ANNOUNCEMENT;COMMUNITY_ANALYSIS	BACKGROUND_ONLY	yes		Amplifies CursorBench #1 ranking for Grok 4.6 coding	author-claim
https://x.com/elonmusk/status/2088127459971522726	2026-08-14T04:55:56Z	elonmusk	Elon Musk	1	OFFICIAL_TECHNICAL_FOLLOWUP	BACKGROUND_ONLY	yes		Highlights multimodal image/video upgrade and productivity claim	author-claim
https://x.com/elonmusk/status/2088100521261359218	2026-08-14T03:08:53Z	elonmusk	Elon Musk	1	OFFICIAL_TECHNICAL_FOLLOWUP	BACKGROUND_ONLY	yes	https://Grok.com/build	States best evaluated with Grok Build harness	official
https://x.com/elonmusk/status/2088033597999473050	2026-08-13T22:42:58Z	elonmusk	Elon Musk	1	OFFICIAL_ANNOUNCEMENT	BACKGROUND_ONLY	yes		Endorsement in independent test quote chain	official
https://x.com/elonmusk/status/2087970387002855683	2026-08-13T18:31:47Z	elonmusk	Elon Musk	1	OFFICIAL_ANNOUNCEMENT	BACKGROUND_ONLY	yes		Amplifies GPQA Diamond 94.9% claim	author-claim
https://x.com/XFreeze/status/2088137836079804882	2026-08-14T05:37:10Z	XFreeze	X Freeze	1	INDEPENDENT_BENCHMARK	BACKGROUND_ONLY	no		Original CursorBench ranking post	observed
https://x.com/yunta_tsai/status/2088062294119104944	2026-08-14T00:36:59Z	yunta_tsai	Yun-Ta Tsai	1;10	PERFORMANCE_OBSERVATION	BACKGROUND_ONLY	no		Independent multimodal video understanding productivity observation	observed
https://x.com/ArthurMacwaters/status/2088044880379761103	2026-08-13T23:27:48Z	ArthurMacwaters	Arthur MacWaters	1	PERFORMANCE_OBSERVATION	BACKGROUND_ONLY	no		Notes Grok 4.6 optimization for Grok Build	observed
https://x.com/MiaAI_lab/status/2087857449172689240	2026-08-13T11:03:01Z	MiaAI_lab	Mia	1	INDEPENDENT_REPRODUCTION	BACKGROUND_ONLY	no		8-hour kernel/modding test claiming parity with Kimi K3	observed
https://x.com/cb_doge/status/2087953922229170682	2026-08-13T17:26:22Z	cb_doge	DogeDesigner	1	INDEPENDENT_BENCHMARK	BACKGROUND_ONLY	no		GPQA Diamond ranking post	observed
https://x.com/Google/status/2088396439198089236	2026-08-14T22:44:46Z	Google	Google	2	OFFICIAL_ANNOUNCEMENT	ORDINARY_WINDOW	yes		Official day-after Gemini 3.7 Flash coding/agents positioning	official
https://x.com/Google/status/2088396450258391370	2026-08-14T22:44:48Z	Google	Google	2	OFFICIAL_TECHNICAL_FOLLOWUP	ORDINARY_WINDOW	yes		Calls for user-built examples	official
https://x.com/Google/status/2088366086316315080	2026-08-14T20:44:09Z	Google	Google	2	OFFICIAL_ANNOUNCEMENT	BACKGROUND_ONLY	yes		Video demo of design adherence and one-shot game	official
https://x.com/Google/status/2088366088509591790	2026-08-14T20:44:10Z	Google	Google	2	OFFICIAL_TECHNICAL_FOLLOWUP	BACKGROUND_ONLY	yes	https://blog.google/innovation-and-ai/models-and-research/gemini-models/introducing-gemini-3-7-flash/	Links primary blog post	official
https://x.com/Google/status/2088345261164617842	2026-08-14T19:21:24Z	Google	Google	2	OFFICIAL_ANNOUNCEMENT	BACKGROUND_ONLY	yes		Cross-promotion with GeminiApp	official
https://x.com/Motion_Viz/status/2090924251520065713	2026-08-21T22:09:23Z	Motion_Viz	MotionViz	2	INTEGRATION_OR_DEPLOYMENT	LATE_BREAKING	no		1-prompt memory transfer setup report	observed
https://x.com/deftdawg/status/2090947274272645212	2026-08-21T23:40:52Z	deftdawg	Deftdawg	2	FAILURE_OR_REGRESSION	LATE_BREAKING	no		Reports filesystem inspection regression on Gemini 3.7-flash high	observed
https://x.com/10xmylife/status/2090746640495964545	2026-08-21T10:23:37Z	10xmylife	海明Dev	2	PERFORMANCE_OBSERVATION	ORDINARY_WINDOW	no		Endorsement for Chinese writing tasks	observed
https://x.com/deepseek_ai/status/2087864585504305397	2026-08-13T11:31:22Z	deepseek_ai	DeepSeek	3	OFFICIAL_ANNOUNCEMENT	BACKGROUND_ONLY	yes		Official DeepSeek-V4-Pro launch with agent upgrades and API support	official
https://x.com/deepseek_ai/status/2087864589895798968	2026-08-13T11:31:23Z	deepseek_ai	DeepSeek	3;12	OFFICIAL_TECHNICAL_FOLLOWUP	BACKGROUND_ONLY	yes		Peak/off-peak API pricing update effective Aug 16	official
https://x.com/0xkydo/status/2090894947335750142	2026-08-21T20:12:57Z	0xkydo	Kydo	4;8	INDEPENDENT_BENCHMARK;PERFORMANCE_OBSERVATION;INTEGRATION_OR_DEPLOYMENT	ORDINARY_WINDOW	no	https://www.yukon.org/mlxfast	Detailed 3.3x MLX decode speedup results and methodology	observed
https://x.com/julianharris/status/2090950801099256146	2026-08-21T23:54:53Z	julianharris	Julian Harris	4;8	COMMUNITY_ANALYSIS	LATE_BREAKING	no		Frames open-weights innovation pace and Mac speedup	observed
